id,name,cluster,postcode,lat,lon,length
s1,2. Westtunnel,1,10243,52.51121427531362,13.433862108201659,43
s2,Aachener Straße,1,10713,52.48010401206288,13.318894891444728,675
s3,Aalemannufer,1,13587,52.57313191552375,13.218142687594606,757
s4,Aalesunder Straße,1,10439,52.554889100000004,13.407601050000002,135
s5,Aalstieg,1,12589,52.4353267283721,13.69086404942038,337
s6,Aarauer Straße,1,12205,52.42528745,13.29073105,370
s7,Aarberger Straße,1,12205,52.425638424628126,13.301015197296378,147
s8,Abajstraße,1,13158,52.59033855,13.391888949999998,176
s9,Abbe Lemire Weg,1,13051,52.56095215228145,13.488836443684404,674
s10,Abbestraße,1,10587,52.51650476612819,13.320949913505984,310
s11,Abendrotweg,1,12307,52.392442705614705,13.390198201709365,272
s12,Abram-Joffe-Straße,1,12489,52.43333809878497,13.529366016499079,414
s13,Abteibrücke,1,12435,52.48638897065736,13.480670918412489,75
s14,Abtstraße,1,12489,52.43521629999999,13.543040799999996,93
s15,Abtweilerstraße,1,12559,52.41308584146567,13.675995075351931,149
s16,Achardstraße,1,12621,52.49941825385196,13.582608678807084,489
s17,Achenbachstraße,1,13585,52.54201723915367,13.202850642616793,182
s18,Achenseeweg,1,12209,52.41275104902113,13.334141895307472,982
s19,Achillesstraße,1,13125,52.61744416971201,13.48930802349465,1874
s53,AEG-Siedlung Heimat,1,13469,52.60933407229454,13.347227490441005,216
s20,Achtermannstraße,1,13187,52.57749727972514,13.422147541760852,583
s21,Achtrutenberg,1,13125,52.62012113709754,13.481316036292466,389
s22,Ackerplanweg,1,13509,52.59698897661079,13.29989597053375,52
s23,Ackerstraße,4,13585,52.54688473143703,13.197573690968575,482
s24,Ackerstraße,1,10115,52.5354619,13.3901238,1765
s25,Adalbertstraße,1,10997,52.50410900521634,13.421282516569034,1148
s26,Adamstraße,1,13595,52.5210086,13.19383613983702,543
s27,Adam-von-Trott-Straße,1,13627,52.54368648390516,13.30995750887394,745
s28,Adele-Sandrock-Straße,1,12627,52.534451437924,13.619201280477746,653
s29,Adele-Schreiber-Krieger-Straße,1,10117,52.5209188,13.377377550000002,44
s30,Adelheidallee,1,13507,52.59445397442449,13.27698308017601,387
s31,Adelheid-Poninska-Straße,1,13591,52.52737620386124,13.141835980052365,287
s32,Adersleber Weg,1,12685,52.53611525022695,13.560024012558003,180
s33,Adickesstraße,1,13599,52.54937341860276,13.23069084990401,1010
s34,Adlerbrücke,1,10785,52.5102785,13.354111650000002,10
s35,Adlergestell,1,12527,52.4122524986267,13.575798165220263,21024
s36,Adlershofer Straße,1,12557,52.44231786016868,13.567053802266848,423
s37,Adlerstraße,1,12526,52.3986205695376,13.577364856477669,330
s38,Adlerweg,1,13437,52.58652218892232,13.349569156016889,209
s39,Adlerweg,2,13599,52.559363873477935,13.22932876329914,91
s40,Adlerweg,3,13089,52.571247050000004,13.429024100000001,30
s41,Adlerweg,4,12307,52.397220186103745,13.365570409296225,275
s42,Admiralstraße,1,10999,52.4965078,13.4159025,414
s43,Adolf-Heyden-Straße,1,12555,52.449879366824185,13.56450334510549,187
s44,Adolf-Martens-Straße,1,12205,52.443133560360295,13.291015724112322,430
s45,Adolf-Menzel-Straße,1,12621,52.49470718488193,13.574765239019866,785
s46,Adolf-Scheidt-Platz,1,12101,52.47820592019917,13.37877824603524,307
s47,Adolfstraße,1,12621,52.50764061027757,13.58541605131645,538
s48,Adolfstraße,3,13347,52.546552535141615,13.366906480147694,377
s49,Adolfstraße,4,14165,52.41862570870464,13.257699508020957,397
s50,Adolfstraße,5,12167,52.4526746180099,13.324218817992762,253
s51,Adorfer Straße,1,12627,52.532187852578744,13.607454780534887,197
s52,Aegirstraße,1,13409,52.56175455,13.373324350000003,86
s54,AEG-Straße,1,13469,52.61136800579087,13.34425684106745,301
s55,Afrikanische Straße,1,13351,52.55363198873338,13.336546578020704,3351
s56,Agathenweg,1,13509,52.59961891450862,13.294452596711302,107
s57,Agavensteig,1,12437,52.44733200409439,13.481854601472447,950
s58,Agnes-Kraus-Weg,1,10319,52.50007038631465,13.510923140629567,924
s59,Agnes-Straub-Weg,1,12353,52.42427161546969,13.482527446908248,380
s60,Agnes-Wabnitz-Straße,1,10249,52.52585077380048,13.455540863504066,228
s61,Agnes-Zahn-Harnack-Straße,1,10557,52.52423433525336,13.367179300929905,149
s62,Agnethaweg,1,13055,52.54122258467125,13.506180103707727,113
s63,Agricolastraße,1,10555,52.52023605827125,13.333497684082417,508
s64,Ahlbecker Straße,1,10437,52.54448974781315,13.4250071601324,290
s65,Ahlbeerensteig,1,13591,52.53888740783558,13.140737361697603,201
s66,Ahlener Weg,1,12207,52.40912770932245,13.304184178737096,356
s67,Ahornallee,1,13051,52.58602018374685,13.504221342353896,1674
s68,Ahornallee,3,10557,52.516352580297394,13.363188542702963,194
s69,Ahornallee,2,10315,52.516640542137424,13.512906874282354,255
s70,Ahornallee,8,12623,52.490418572775475,13.615163657092223,1342
s71,Ahornallee,7,12555,52.44813299727488,13.565224282254055,403
s72,Ahornallee,9,12587,52.453258106402174,13.618469279700095,510
s73,Ahornallee,10,13158,52.59136995,13.39785805,208
s74,Ahornallee,12,13129,52.59811416073465,13.46223920625916,452
s75,Ahornallee,13,14050,52.51409766661544,13.27600501263802,1018
s76,Ahornallee,14,14089,52.46820636349784,13.124072036894392,550
s77,Ahornsteig,1,10785,52.51486503779519,13.375507830392598,1145
s78,Ahornstraße,1,12107,52.43024418982557,13.383250973957901,174
s79,Ahornstraße,4,12621,52.481764865983884,13.576074448207011,190
s80,Ahornstraße,5,12589,52.42659371735126,13.73064196748828,317
s81,Ahornstraße,7,10787,52.501665599999995,13.3525639,106
s82,Ahornstraße,9,14163,52.433305360092035,13.252830872580642,406
s83,Ahornstraße,6,12163,52.46113705419607,13.321349976374117,498
s585,Amselweg,13,13599,52.55526568480498,13.234256650159935,130
s84,Ahornweg,4,12587,52.451496349156045,13.597047334058963,255
s85,Ahornweg,5,13351,52.55983397017644,13.326415771584676,91
s86,Ahrensdorfer Straße,1,12279,52.40863358880998,13.356753830747834,305
s87,Ahrensfelder Chaussee,1,13057,52.57050766579459,13.556954524308114,1685
s88,Ahrenshooper Straße,1,13051,52.56830399956996,13.502423282829822,1402
s89,Ahrenshooper Zeile,1,14129,52.436697682082375,13.222780067075188,899
s90,Ährenweg,1,12683,52.51553028039232,13.561962920900909,395
s91,Ahrweilerstraße,1,14197,52.47147960862217,13.317090704940364,674
s92,Aiblinger Weg,1,14089,52.4575943808121,13.1352924491004,268
s93,Aidastraße,1,13089,52.56666691435683,13.436437520237371,227
s94,Akazienallee,2,12623,52.47843991017552,13.607508472105676,910
s95,Akazienallee,3,14050,52.5190551188212,13.270240036071156,1059
s96,Akazienallee,1,13158,52.59065965140335,13.394803461510092,239
s97,Akazienhof,1,12524,52.41113982614858,13.567982607889052,123
s98,Akazienstraße,4,12207,52.42713137660518,13.323520738548545,76
s99,Akazienstraße,2,10823,52.48779424372298,13.354429667606247,483
s100,Akazienweg,1,14199,52.47934856420123,13.303219361355682,150
s101,Akazienweg,3,13587,52.56952897114796,13.206738102962042,87
s586,Amselweg,14,13125,52.61657702572004,13.462807216132106,95
s102,Akeleiweg,1,12487,52.43324828727659,13.507849490391173,935
s103,Akkordeonweg,1,13127,52.59129644190386,13.425648592826168,475
s104,Alarichstraße,1,12105,52.45440367076406,13.376497904472911,470
s105,Alaskaweg,1,12157,52.46451570215987,13.353903310314776,174
s106,Albanstraße,1,12277,52.41547638237089,13.378629330296848,395
s107,Alberichstraße,1,12683,52.486035590159574,13.55806505783514,1472
s108,Albersweilerweg,1,12349,52.42260239019981,13.422666435724608,222
s109,Albert-Brodersen-Allee,1,12683,52.51113184041917,13.557662441596786,253
s110,Albert-Einstein-Straße,1,12489,52.429230333763925,13.53337560270348,886
s111,Albert-Hößler-Straße,1,10365,52.50968338894537,13.48767321584534,440
s112,Albertinenstraße,1,13086,52.55204311702752,13.459547451675666,414
s113,Albertinenstraße,2,14165,52.422919099999994,13.249135450000002,351
s114,Albert-Kuntz-Straße,1,12627,52.537371358072754,13.617864755847972,525
s115,Albert-Schweitzer-Platz,1,12043,52.48496673672067,13.426402769204786,0
s116,Albert-Schweitzer-Straße,1,12587,52.45401640103806,13.623176865926114,539
s117,Albertstraße,1,10827,52.48356643797647,13.3540766410103,279
s118,Albestraße,1,12159,52.473461182236306,13.332348876791603,407
s119,Albiger Weg,1,14129,52.428370672321535,13.205807041191239,246
s120,Alboinplatz,1,12105,52.4584610221171,13.369406013216901,770
s121,Alboinstraße,1,12103,52.46473254789907,13.370109566757085,1564
