id,name,cluster_id,postcode,lat,lon
1,2. Westtunnel,1,10243,52.51121427531362,13.433862108201659
2,Aachener Straße,1,10713,52.48010401206288,13.318894891444728
3,Aalemannufer,1,13587,52.57313191552375,13.218142687594607
4,Aalesunder Straße,1,10439,52.554889100000004,13.407601050000002
5,Aalstieg,1,12589,52.4353267283721,13.69086404942038
6,Aarauer Straße,1,12205,52.42528745,13.29073105
7,Aarberger Straße,1,12205,52.425638424628126,13.301015197296378
8,Abajstraße,1,13158,52.59033855,13.391888949999998
9,Abbe Lemire Weg,1,13051,52.56095215228145,13.488836443684404
10,Abbestraße,1,10587,52.51650476612819,13.320949913505984
11,Abendrotweg,1,12307,52.392442705614705,13.390198201709365
12,Abram-Joffe-Straße,1,12489,52.43333809878497,13.529366016499079
13,Abteibrücke,1,12435,52.48638897065736,13.480670918412489
14,Abtstraße,1,12489,52.43521629999999,13.543040799999996
15,Abtweilerstraße,1,12559,52.41308584146567,13.675995075351931
16,Achardstraße,1,12621,52.49941825385196,13.582608678807084
17,Achenbachstraße,1,13585,52.54201723915367,13.202850642616793
18,Achenseeweg,1,12209,52.41275104902113,13.334141895307472
19,Achillesstraße,1,13125,52.617444169712016,13.489308023494642
53,AEG-Siedlung Heimat,1,13469,52.60933407229454,13.347227490441005
20,Achtermannstraße,1,13187,52.57749727972514,13.422147541760852
21,Achtrutenberg,1,13125,52.62012113709754,13.481316036292466
22,Ackerplanweg,1,13509,52.59698897661079,13.29989597053375
23,Ackerstraße,3,13585,52.54688473143703,13.197573690968575
24,Ackerstraße,1,10115,52.5354619,13.3901238
25,Adalbertstraße,1,10997,52.504109005216336,13.42128251656903
26,Adamstraße,1,13595,52.5210086,13.19383613983702
27,Adam-von-Trott-Straße,1,13627,52.54368648390516,13.30995750887394
28,Adele-Sandrock-Straße,1,12627,52.53445143792399,13.61920128047775
29,Adele-Schreiber-Krieger-Straße,1,10117,52.5209188,13.377377550000002
30,Adelheidallee,1,13507,52.59445397442449,13.27698308017601
31,Adelheid-Poninska-Straße,1,13591,52.52737620386124,13.141835980052365
32,Adersleber Weg,1,12685,52.53611525022695,13.560024012558003
33,Adickesstraße,1,13599,52.54937341860276,13.23069084990401
34,Adlerbrücke,1,10785,52.5102785,13.354111650000002
35,Adlergestell,1,12527,52.41225249862672,13.575798165220238
36,Adlershofer Straße,1,12557,52.44231786016868,13.567053802266848
37,Adlerstraße,1,12526,52.3986205695376,13.577364856477669
38,Adlerweg,1,13437,52.58652218892232,13.349569156016889
39,Adlerweg,2,13599,52.559363873477935,13.22932876329914
40,Adlerweg,3,13089,52.571247050000004,13.429024100000001
41,Adlerweg,4,12307,52.397220186103745,13.365570409296225
42,Admiralstraße,1,10999,52.4965078,13.4159025
43,Adolf-Heyden-Straße,1,12555,52.449879366824185,13.56450334510549
44,Adolf-Martens-Straße,1,12205,52.443133560360295,13.291015724112322
45,Adolf-Menzel-Straße,1,12621,52.49470718488193,13.574765239019866
46,Adolf-Scheidt-Platz,1,12101,52.47820592019917,13.37877824603524
47,Adolfstraße,1,12621,52.50764061027757,13.58541605131645
48,Adolfstraße,2,13347,52.546552535141615,13.366906480147694
49,Adolfstraße,4,14165,52.41862570870464,13.257699508020957
50,Adolfstraße,5,12167,52.4526746180099,13.324218817992762
51,Adorfer Straße,1,12627,52.532187852578744,13.607454780534887
52,Aegirstraße,1,13409,52.56175455,13.373324350000003
54,AEG-Straße,1,13469,52.61136800579087,13.34425684106745
55,Afrikanische Straße,1,13351,52.55363198873339,13.336546578020696
56,Agathenweg,1,13509,52.59961891450862,13.294452596711302
57,Agavensteig,1,12437,52.44733200409439,13.481854601472447
58,Agnes-Kraus-Weg,1,10319,52.50007038631465,13.510923140629567
59,Agnes-Straub-Weg,1,12353,52.42427161546969,13.482527446908248
60,Agnes-Wabnitz-Straße,1,10249,52.52585077380048,13.455540863504067
61,Agnes-Zahn-Harnack-Straße,1,10557,52.52423433525336,13.367179300929905
62,Agnethaweg,1,13055,52.54122258467125,13.506180103707727
63,Agricolastraße,1,10555,52.52023605827125,13.333497684082417
64,Ahlbecker Straße,1,10437,52.54448974781315,13.4250071601324
65,Ahlbeerensteig,1,13591,52.53888740783558,13.140737361697603
66,Ahlener Weg,1,12207,52.40912770932245,13.304184178737096
67,Ahornallee,1,13051,52.58602018374685,13.504221342353896
68,Ahornallee,3,10557,52.516352580297394,13.363188542702963
69,Ahornallee,2,10315,52.516640542137424,13.512906874282354
70,Ahornallee,8,12623,52.490418572775475,13.615163657092229
71,Ahornallee,7,12555,52.44813299727488,13.565224282254055
72,Ahornallee,9,12587,52.453258106402174,13.618469279700095
73,Ahornallee,11,13158,52.59136995,13.39785805
74,Ahornallee,14,13129,52.59811416073465,13.46223920625916
75,Ahornallee,15,14089,52.46820636349784,13.124072036894392
76,Ahornallee,12,14050,52.51409766661544,13.27600501263802
77,Ahornsteig,1,10785,52.51486503779519,13.375507830392598
78,Ahornstraße,1,12107,52.43024418982557,13.383250973957901
79,Ahornstraße,4,12621,52.481764865983884,13.576074448207011
80,Ahornstraße,5,12589,52.42659371735126,13.73064196748828
81,Ahornstraße,7,10787,52.501665599999995,13.3525639
82,Ahornstraße,6,12163,52.46113705419607,13.321349976374115
83,Ahornstraße,9,14163,52.433305360092035,13.252830872580642
118,Albestraße,1,12159,52.473461182236306,13.332348876791603
84,Ahornweg,2,12587,52.451496349156045,13.597047334058963
85,Ahornweg,5,13351,52.55983397017644,13.326415771584676
